individualid,originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,locationtext,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1sex,interactor1temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2sex,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,figuretable,citation,doi,curratedbycitation,curratedbydoi,submittedby,contributoremail,notes,published,embargorelease
,ADH001,relative activity,mean percent relative activity,,,24.97,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,30,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,33.5,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,35,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,38.73,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,40,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,45.88,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,45,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,66.48,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,50,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,91.2,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,55,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,99.45,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,60,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,58.3,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,65,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,ADH001,relative activity,mean percent relative activity,,,26.21,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Lahore Pakistan,colony,,,0,decimal,32,74,Bacillus subtilis,,part,Alcohol dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,70,Celsius,,30,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1,10.1134/S0006297917010023 ,,,Natalia Glazman,glazmann@yahoo.co.uk,"B subtilis strain R5 used, 99% identity to 168",TRUE,16/10/2016
,HSD001,relative activity,mean percent relative activity,,,46.2,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,25,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,"Growth temperature applies to E. coli expression vector, B. subtilis strain 168 used",TRUE,28/12/2020
